code,name,description,cost,price,in_stock,category,unit,isArchived,created_at,_id,_rev
"123","hammer_test","",50,100,-3,"","piece",true,"2026-03-07T18:33:10.414Z","1772908390414","5-6f5bcb441d72ddf09eb676411ed48191"
"6935861204011","pololock sealant clear","",120,180,24,"hardware items","piece",true,"2026-03-08T05:24:26.518Z","1772947466518","6-dbd23c288f881bd9ce23618d6a10dad2"
"4806036500035","firefly led 7w","",100,190,45,"electrical","piece",true,"2026-03-08T05:32:28.113Z","1772947948113","1772947948113","3-0bf1c9e64a0ed1c28e29f4ce513b66eb"
"","2B check valve 1/2","",62,165,7,"2b","piece",false,"2026-03-08T08:08:08.365Z","1772957288365","1772957288365","3-5e81e42072d8ff35a21e0707e642c94f"
"","2B check valve 3/4","",90,195,12,"2b","piece",false,"2026-03-08T08:09:22.231Z","1772957362231","1772957362231","2-2c01302ba7ea2ee5f637b46d98babcca"
"","2B boring bit","",105,225,10,"2b","piece",false,"2026-03-08T08:14:53.538Z","1772957693538","1772957693538","2-2a96b299227514ed8f6d2aafa5021f55"
"","Cement","",176,198,479,"","bag",true,"2026-03-08T08:15:38.226Z","1772957738226","5-842272de83972686e86b3191c30d131d"
"","pvc pipe black #3","",112,200,30,"tj cai","piece",false,"2026-03-09T09:45:09.067Z","1773049509067","1-16f46d18f0c4ca8f0351e001a730a3d2"
"","pvc blk elbow 1/4x 2","",5,15,50,"tj cai","piece",false,"2026-03-09T09:47:56.556Z","1773049676556","1773049676556","2-5d9dcf757f57f2f7dde8dd87aa44f163"
"","pvc orange coupling #2","",6,20,30,"tj cai","piece",false,"2026-03-09T09:49:41.285Z","1773049781285","1773049781285","2-f88f3e84ca2701ac308815364cb62277"
"","pvc orange p-trap #2","",26,65,30,"tj cai","piece",false,"2026-03-09T09:50:59.804Z","1773049859804","1-e158839ce60b54d2584534dd0308ffb4"
"","pvc orange elbow 1/4x3","",21,65,50,"tj cai","piece",false,"2026-03-09T09:52:43.893Z","1773049963893","1773049963893","2-65ec772bf31e317e4189a824c59e01d0"
"","pvc orange tee 3x2","",21,65,20,"tj cai","piece",false,"2026-03-09T09:54:50.804Z","1773050090804","1773050090804","3-25bba7c735829019c90fe0ea4da5ce13"
"","pvc orange wye 3x2","",23,65,20,"","piece",true,"2026-03-09T09:56:12.041Z","1773050172041","2-61841654301c49be4e23f2c32370a441"
"","pvc orange wye 3x2","",23,65,20,"tj cai","piece",false,"2026-03-09T09:57:44.198Z","1773050264198","1-b04425133ce1f738a4290abf678b1d6b"
"","pvc orange wye 3x2","",23,65,20,"tj cai","piece",true,"2026-03-09T09:58:48.982Z","1773050328982","2-199965751c35c53ea4d4a2d92a68eade"
"","pvc orange tee 2x2","",14,45,20,"tj cai","piece",false,"2026-03-09T10:00:40.373Z","1773050440373","1-e50dfc8210c400b8297cddc906ee756f"
"","boral compound","",765,995,1,"tj cai","bags",false,"2026-03-09T10:02:28.253Z","1773050548253","1773050548253","2-24c48f60aad6e5b17fa2fff3723822b1"
"","boral compound","",40,65,20,"tj cai","kilo",false,"2026-03-09T10:03:24.080Z","1773050604080","1-853797acdbbc4b2b0f8bffcf81352fe2"
"","pvc orange wye 2x2","",15,45,30,"tj cai","piece",false,"2026-03-09T10:04:32.245Z","1773050672245","1-3d5eb07a58efd60c721d987dd62c63e0"
"","pvc black tee 2x2","",7,25,30,"tj cai","piece",false,"2026-03-09T10:05:54.728Z","1773050754728","1-d35bfbe2439d68f2ba3e33a43ed066dd"
"","pvc black wye 3x2","",12,35,20,"tj cai","piece",false,"2026-03-09T10:06:42.523Z","1773050802523","1-2bfacc550fef64b08f912d3a6b3f5895"
"","pvc orange wye 3x3","",31,75,20,"tj cai","piece",false,"2026-03-09T10:07:59.695Z","1773050879695","1-7a33a8a1ea6bda770c806b0af1f03918"
"","pvc orange wye","",31,75,20,"tj cai","piece",true,"2026-03-09T10:09:19.970Z","1773050959970","2-5bc325a46803e78ae2730b6f5061014b"
"","ppr pipe 1/2","",108,180,36,"tj cai","piece",false,"2026-03-09T11:16:32.206Z","1773054992206","1-7a93c01d1a0f641e68fef26468bb65bd"
